OrderID,ProductID,Quantity,UnitCost,UnitPrice,DiscountRate,IsReturned,ReturnDate,ReturnTime,ReturnReason
ord00018,PRDCT0037,1,1.42,1.85,0.0,1,20-03-2023,09:21:35,Damaged Can
ORD00018,PRDCT0091,3,4.57,7.34,0.0,0,9999-12-31,00:00:00,
ORD00019,PRDCT0006,2,9.17,11.56,0.0,0,9999-12-31,00:00:00,
ORD00019,PRDCT0010,1,15.06,22.88,0.0,0,9999-12-31,00:00:00,
ORD00020,prdct0021,3,1.65,2.36,0.15,0,9999-12-31,00:00:00,
ord00020,PRDCT0019,3,3.75,6.05,0.0,0,9999-12-31,00:00:00,
ORD00020,prdct0011,1,5.77,9.19,0.0,0,9999-12-31,00:00:00,
ord00020,PRDCT0023,2,2.46,3.35,0.0,0,9999-12-31,00:00:00,
ORD00020,prdct0081,1,7.88,10.85,0.0,0,9999-12-31,00:00:00,
ord00021,prdct0086,2,7.38,12.24,0.0,0,9999-12-31,00:00:00,
ORD00021,prdct0007,1,21.77,33.89,0.0,0,9999-12-31,00:00:00,
ORD00022,PRDCT0016,3,4.79,7.56,0.15,1,2023-09-13,00:24:01,Wrong Item Sent
ORD00023,prdct0061,2,7.78,9.98,0.1,0,9999-12-31,00:00:00,
ord00023,PRDCT0087,2,5.9,9.15,0.0,0,9999-12-31,00:00:00,
ORD00023,PRDCT0090,1,8.94,14.24,0.0,0,9999-12-31,00:00:00,
ord00024,PRDCT0029,1,1.22,1.92,0.0,0,9999-12-31,00:00:00,
ord00024,prdct0024,3,2.4,3.41,0.0,0,9999-12-31,00:00:00,
ORD00024,PRDCT0028,2,4.17,5.31,0.0,0,9999-12-31,00:00:00,
ORD00024,PRDCT0001,1,20.36,25.77,0.0,0,9999-12-31,00:00:00,
ORD00024,prdct0006,1,11.1,13.99,0.0,1,24 Aug 2024,11:52:38,Spoiled/Expired
ord00024,PRDCT0048,4,4.73,6.76,0.1,0,9999-12-31,00:00:00,
ORD00025,prdct0011,1,4.77,7.6,0.0,0,9999-12-31,00:00:00,
ord00025,prdct0004,1,10.71,13.85,0.0,1,2023.03.08,21:10:21,Wrong Item Sent
ORD00026,PRDCT0051,2,1.82,2.49,0.0,0,9999-12-31,00:00:00,
ord00026,prdct0056,1,3.13,4.95,0.15,0,9999-12-31,00:00:00,
ORD00027,PRDCT0046,1,2.45,3.3,0.05,0,9999-12-31,00:00:00,
ORD00027,PRDCT0059,2,5.7,8.94,0.0,0,9999-12-31,00:00:00,
ORD00028,prdct0030,2,1.09,1.64,0.0,0,9999-12-31,00:00:00,
ORD00028,PRDCT0007,1,26.34,41.01,0.0,0,9999-12-31,00:00:00,
ord00028,PRDCT0004,1,11.78,15.24,0.0,0,9999-12-31,00:00:00,
ORD00028,PRDCT0012,2,3.63,5.39,0.0,0,9999-12-31,00:00:00,
ord00029,prdct0081,1,7.16,9.86,0.0,0,9999-12-31,00:00:00,
ord00029,PRDCT0066,3,5.04,7.83,0.0,0,9999-12-31,00:00:00,
ORD00029,prdct0087,25,7.85,12.18,0.0,0,9999-12-31,00:00:00,
ORD00030,PRDCT0024,1,2.9,4.12,0.15,0,9999-12-31,00:00:00,
ORD00030,PRDCT0009,2,19.99,28.36,0.0,0,9999-12-31,00:00:00,
ord00030,prdct0023,1,2.71,3.69,0.0,0,9999-12-31,00:00:00,
ord00030,PRDCT0021,2,1.82,2.59,0.05,0,9999-12-31,00:00:00,
ORD00031,PRDCT0001,4,24.64,31.18,0.0,1,13-05-2026,07:51:34,Spoiled/Expired
ORD00031,PRDCT0027,3,7.15,9.18,0.0,1,11-05-2026,23:51:34,Bruised/Damaged
ORD00031,PRDCT0017,4,3.12,3.96,0.1,0,9999-12-31,00:00:00,
ORD00032,PRDCT0007,1,19.79,30.81,0.0,0,9999-12-31,00:00:00,
ORD00032,PRDCT0010,1,13.69,20.8,0.0,0,9999-12-31,00:00:00,
ORD00032,PRDCT0026,2,4.42,5.85,0.0,0,9999-12-31,00:00:00,
ORD00033,prdct0030,4,1.2,1.8,0.05,0,9999-12-31,00:00:00,
ord00033,PRDCT0006,2,12.21,15.39,0.0,0,9999-12-31,00:00:00,
ord00033,PRDCT0003,2,12.84,20.35,0.05,0,9999-12-31,00:00:00,
ord00033,PRDCT0027,2,6.5,8.35,0.05,0,9999-12-31,00:00:00,
ORD00034,PRDCT0011,1,5.24,8.36,0.0,0,9999-12-31,00:00:00,
ORD00034,PRDCT0023,3,2.24,3.05,0.0,0,9999-12-31,00:00:00,
ord00034,PRDCT0028,3,4.17,5.31,0.0,0,9999-12-31,00:00:00,
ORD00035,prdct0032,2,6.55,9.76,0.0,0,9999-12-31,00:00:00,
ord00035,prdct0036,3,5.93,9.26,0.0,0,9999-12-31,00:00:00,
ORD00035,prdct0048,3,5.72,8.18,0.0,0,9999-12-31,00:00:00,
ORD00036,prdct0029,1,1.11,1.74,0.0,0,9999-12-31,00:00:00,
ORD00036,PRDCT0044,2,4.33,5.95,0.05,0,9999-12-31,00:00:00,
ORD00037,PRDCT0017,2,2.35,2.98,0.0,0,9999-12-31,00:00:00,
ORD00037,PRDCT0024,11,2.18,3.1,0.0,0,9999-12-31,00:00:00,
ORD00037,PRDCT0040,2,2.61,4.2,0.0,0,9999-12-31,00:00:00,
ORD00038,prdct0075,1,3.61,5.51,0.15,0,9999-12-31,00:00:00,
ORD00039,prdct0012,1,4.0,5.93,0.15,1,10-23-25,23:18:53,Customer Changed Mind
ORD00039,PRDCT0019,2,3.75,6.05,0.0,0,9999-12-31,00:00:00,
ORD00039,PRDCT0006,4,12.21,15.39,0.0,0,9999-12-31,00:00:00,
ord00040,prdct0079,4,10.83,14.4,0.1,0,9999-12-31,00:00:00,
ORD00040,prdct0087,3,7.14,11.07,0.05,0,9999-12-31,00:00:00,
ord00040,prdct0073,5,5.19,8.54,0.0,0,9999-12-31,00:00:00,
ord00040,prdct0083,1,3.79,4.94,0.0,0,9999-12-31,00:00:00,
ORD00040,PRDCT0089,3,9.26,13.66,0.0,0,9999-12-31,00:00:00,
ord00040,prdct0071,2,12.22,18.79,0.0,0,9999-12-31,00:00:00,
ORD00040,PRDCT0061,1,9.41,12.08,0.0,0,9999-12-31,00:00:00,
ord00041,PRDCT0054,3,3.79,5.05,0.0,0,9999-12-31,00:00:00,
ORD00042,PRDCT0085,2,3.67,5.11,0.0,1,2025.01.15,02:45:50,Leaking Chemical
ORD00042,prdct0086,1,9.82,16.3,0.0,0,9999-12-31,00:00:00,
ORD00042,PRDCT0072,1,9.4,14.23,0.0,0,9999-12-31,00:00:00,
ORD00043,PRDCT0029,2,0.92,1.44,0.0,0,9999-12-31,00:00:00,
ORD00043,PRDCT0028,1,3.13,3.99,0.0,0,9999-12-31,00:00:00,
ORD00043,PRDCT0005,3,18.56,25.03,0.0,0,9999-12-31,00:00:00,
ord00044,PRDCT0015,1,4.54,7.44,0.0,0,9999-12-31,00:00:00,
ORD00044,prdct0019,2,3.1,5.0,0.0,0,9999-12-31,00:00:00,
ord00044,PRDCT0018,2,8.07,10.6,0.0,0,9999-12-31,00:00:00,
ORD00045,PRDCT0030,1,0.99,1.49,0.0,0,9999-12-31,00:00:00,
ORD00045,prdct0016,1,4.79,7.56,0.0,0,9999-12-31,00:00:00,
ORD00045,PRDCT0002,2,24.65,34.24,0.0,0,9999-12-31,00:00:00,
ORD00045,PRDCT0069,2,6.23,8.41,0.0,0,9999-12-31,00:00:00,
ORD00046,PRDCT0029,1,1.35,2.11,0.0,0,9999-12-31,00:00:00,
ORD00047,prdct0074,2,10.37,14.8,0.0,0,9999-12-31,00:00:00,
ORD00047,PRDCT0067,3,2.45,3.67,0.0,0,9999-12-31,00:00:00,
ORD00047,PRDCT0087,2,7.85,12.18,0.0,0,9999-12-31,00:00:00,
ord00047,PRDCT0063,2,3.55,5.18,0.0,0,9999-12-31,00:00:00,
ORD00047,prdct0090,1,11.9,18.95,0.0,0,9999-12-31,00:00:00,
ord00047,PRDCT0025,8,3.17,4.96,0.0,1,2024-04-12,12:14:42,Unripe Product
ord00048,PRDCT0068,14,11.1,16.69,0.15,0,9999-12-31,00:00:00,
ORD00048,prdct0078,1,15.02,23.16,0.4,0,9999-12-31,00:00:00,
ORD00048,PRDCT0063,2,3.91,5.7,0.25,0,9999-12-31,00:00:00,
ORD00048,prdct0082,17,10.98,15.52,0.2,0,9999-12-31,00:00:00,
ORD00049,prdct0060,1,7.57,10.69,0.05,0,9999-12-31,00:00:00,
ORD00049,PRDCT0042,2,2.97,4.86,0.0,0,9999-12-31,00:00:00,
ORD00049,PRDCT0059,2,6.27,9.84,0.0,0,9999-12-31,00:00:00,
ORD00049,PRDCT0051,1,1.82,2.49,0.0,0,9999-12-31,00:00:00,
ord00049,PRDCT0032,2,5.96,8.87,0.0,0,9999-12-31,00:00:00,
ord00050,PRDCT0028,2,3.79,4.83,0.0,0,9999-12-31,00:00:00,
ord00051,PRDCT0043,4,2.6,3.92,0.1,0,9999-12-31,00:00:00,
ORD00051,PRDCT0041,3,4.78,6.59,0.0,1,08/12/2023,19:36:50,Stale/Hard
ORD00051,PRDCT0046,1,2.23,3.0,0.1,0,9999-12-31,00:00:00,
ORD00051,PRDCT0017,2,2.35,2.98,0.0,0,9999-12-31,00:00:00,
ORD00052,prdct0021,2,1.5,2.14,0.05,0,9999-12-31,00:00:00,
ORD00052,PRDCT0003,24,11.67,18.5,0.0,0,9999-12-31,00:00:00,
ORD00052,PRDCT0009,4,16.52,23.44,0.0,0,9999-12-31,00:00:00,
ORD00052,prdct0012,3,3.63,5.39,0.0,0,9999-12-31,00:00:00,
ORD00052,PRDCT0025,2,3.17,4.96,0.0,0,9999-12-31,00:00:00,
ORD00053,prdct0043,1,2.15,3.24,0.0,0,9999-12-31,00:00:00,
ord00053,prdct0020,2,4.67,6.79,0.0,0,9999-12-31,00:00:00,
ord00054,PRDCT0008,1,9.26,14.55,0.0,0,9999-12-31,00:00:00,
ORD00055,prdct0007,1,28.97,45.11,0.0,0,9999-12-31,00:00:00,
ORD00055,PRDCT0018,2,9.77,12.83,0.0,0,9999-12-31,00:00:00,
ORD00055,prdct0027,4,6.5,8.35,0.0,0,9999-12-31,00:00:00,
ord00055,prdct0015,1,5.49,9.0,0.0,0,9999-12-31,00:00:00,
ORD00055,PRDCT0020,1,6.84,9.94,0.0,0,9999-12-31,00:00:00,
ORD00055,prdct0035,1,2.23,2.8,0.05,0,9999-12-31,00:00:00,
ORD00056,PRDCT0057,2,5.74,7.54,0.0,0,9999-12-31,00:00:00,
ord00056,prdct0044,1,3.58,4.92,0.0,0,9999-12-31,00:00:00,
ORD00056,prdct0045,1,3.85,5.55,0.0,0,9999-12-31,00:00:00,
ORD00057,PRDCT0072,2,9.4,14.23,0.0,0,9999-12-31,00:00:00,
ORD00057,PRDCT0089,2,11.2,16.53,0.0,0,9999-12-31,00:00:00,
ORD00058,PRDCT0041,1,4.35,6.0,0.3,0,9999-12-31,00:00:00,
ORD00058,PRDCT0042,2,2.23,3.65,0.4,0,9999-12-31,00:00:00,
ORD00059,PRDCT0066,3,4.59,7.11,0.0,0,9999-12-31,00:00:00,
ORD00059,prdct0067,4,2.23,3.34,0.0,0,9999-12-31,00:00:00,
ord00059,prdct0064,3,9.43,12.21,0.05,0,9999-12-31,00:00:00,
ord00059,PRDCT0082,2,9.08,12.83,0.15,1,"Apr 01, 2023",12:32:07,Wrong Product Sent
ord00059,PRDCT0077,4,4.49,6.43,0.0,0,9999-12-31,00:00:00,
ORD00059,PRDCT0065,3,1.33,1.9,0.0,0,9999-12-31,00:00:00,
ORD00059,PRDCT0076,1,11.64,17.97,0.0,0,9999-12-31,00:00:00,
ord00059,PRDCT0047,3,4.34,6.1,0.0,0,9999-12-31,00:00:00,
ORD00060,PRDCT0014,1,2.39,3.4,0.05,0,9999-12-31,00:00:00,
ORD00060,PRDCT0007,2,19.79,30.81,0.0,0,9999-12-31,00:00:00,
ORD00060,PRDCT0085,2,2.51,3.49,0.1,0,9999-12-31,00:00:00,
ORD00061,prdct0010,3,15.06,22.88,0.0,0,9999-12-31,00:00:00,
ord00061,prdct0018,1,7.34,9.64,0.0,0,9999-12-31,00:00:00,
ORD00061,prdct0004,3,9.74,12.6,0.0,0,9999-12-31,00:00:00,
ORD00061,prdct0059,3,4.71,7.39,0.0,0,9999-12-31,00:00:00,
ORD00062,prdct0016,3,5.27,8.32,0.0,0,9999-12-31,00:00:00,
ORD00063,PRDCT0089,1,10.18,15.03,0.0,0,9999-12-31,00:00:00,
ORD00063,prdct0074,1,10.37,14.8,0.0,0,9999-12-31,00:00:00,
ord00063,prdct0062,1,4.01,6.44,0.0,0,9999-12-31,00:00:00,
ord00063,prdct0085,2,3.34,4.65,0.0,0,9999-12-31,00:00:00,
ORD00064,PRDCT0021,2,1.5,2.14,0.0,0,9999-12-31,00:00:00,
ORD00064,prdct0013,2,5.23,6.91,0.0,0,9999-12-31,00:00:00,
ord00064,prdct0024,1,2.4,3.41,0.0,0,9999-12-31,00:00:00,
ORD00065,PRDCT0017,3,2.35,2.98,0.3,0,9999-12-31,00:00:00,
ORD00065,prdct0011,2,4.77,7.6,0.15,0,9999-12-31,00:00:00,
ORD00065,PRDCT0018,3,8.07,10.6,0.15,0,9999-12-31,00:00:00,
ord00065,PRDCT0027,3,5.37,6.9,0.15,0,9999-12-31,00:00:00,
ORD00066,PRDCT0008,1,12.33,19.37,0.15,0,9999-12-31,00:00:00,
ord00066,PRDCT0016,2,5.27,8.32,0.25,0,9999-12-31,00:00:00,
ORD00066,PRDCT0097,1,10.74,14.77,0.2,0,9999-12-31,00:00:00,
ORD00067,prdct0012,12,4.0,5.93,0.0,0,9999-12-31,00:00:00,
ORD00068,PRDCT0090,1,14.4,22.93,0.0,0,9999-12-31,00:00:00,
ORD00069,prdct0002,1,29.82,41.43,0.0,0,9999-12-31,00:00:00,
ord00069,PRDCT0001,3,22.4,28.34,0.0,0,9999-12-31,00:00:00,
ORD00070,prdct0005,2,22.46,30.29,0.0,0,9999-12-31,00:00:00,
ORD00070,prdct0001,2,18.51,23.43,0.0,0,9999-12-31,00:00:00,
ORD00071,PRDCT0028,2,5.04,6.43,0.0,0,9999-12-31,00:00:00,
ORD00071,PRDCT0029,3,1.48,2.32,0.0,0,9999-12-31,00:00:00,
ORD00071,PRDCT0082,2,12.08,17.07,0.0,0,9999-12-31,00:00:00,
ORD00072,PRDCT0011,1,5.77,9.19,0.0,0,9999-12-31,00:00:00,
ORD00072,PRDCT0017,2,2.84,3.6,0.0,0,9999-12-31,00:00:00,
ORD00072,PRDCT0084,1,6.4,10.03,0.0,0,9999-12-31,00:00:00,
ORD00073,prdct0012,2,4.4,6.52,0.0,0,9999-12-31,00:00:00,
ORD00073,PRDCT0030,1,1.32,1.98,0.0,0,9999-12-31,00:00:00,
ord00074,prdct0094,1,10.78,15.15,0.0,1,"Nov 03, 2025",10:47:50,Packaging Damage
ORD00074,PRDCT0035,1,2.23,2.8,0.0,0,9999-12-31,00:00:00,
ORD00074,PRDCT0091,2,5.53,8.89,0.0,0,9999-12-31,00:00:00,
ORD00075,PRDCT0067,1,1.84,2.76,0.0,0,9999-12-31,00:00:00,
ORD00075,prdct0079,1,8.95,11.9,0.0,0,9999-12-31,00:00:00,
ORD00075,PRDCT0068,2,7.58,11.4,0.0,0,9999-12-31,00:00:00,
ORD00076,PRDCT0010,2,16.56,25.17,0.0,0,9999-12-31,00:00:00,
ORD00076,prdct0015,2,4.54,7.44,0.0,0,9999-12-31,00:00:00,
ORD00077,PRDCT0011,2,5.24,8.36,0.0,0,9999-12-31,00:00:00,
ORD00077,PRDCT0030,1,1.09,1.64,0.0,0,9999-12-31,00:00:00,
ORD00077,PRDCT0016,1,5.27,8.32,0.0,0,9999-12-31,00:00:00,
ORD00078,PRDCT0006,1,12.21,15.39,0.0,0,9999-12-31,00:00:00,
ord00078,PRDCT0019,2,3.75,6.05,0.0,0,9999-12-31,00:00:00,
ORD00079,PRDCT0085,3,3.34,4.65,0.0,0,9999-12-31,00:00:00,
ORD00079,PRDCT0083,3,4.17,5.43,0.0,1,26/04/2024,20:51:53,Damaged Spray Nozzle
ORD00079,prdct0071,14,13.44,20.67,0.0,0,9999-12-31,00:00:00,
ORD00079,PRDCT0084,1,5.82,9.12,0.0,0,9999-12-31,00:00:00,
ORD00080,PRDCT0040,2,3.48,5.59,0.0,0,9999-12-31,00:00:00,
ORD00080,PRDCT0051,2,2.0,2.74,0.0,0,9999-12-31,00:00:00,
ORD00080,PRDCT0031,5,3.83,5.86,0.0,0,9999-12-31,00:00:00,
ord00080,PRDCT0032,11,6.55,9.76,0.05,0,9999-12-31,00:00:00,
ORD00081,PRDCT0040,2,3.16,5.08,0.0,0,9999-12-31,00:00:00,
ORD00081,prdct0057,2,8.4,11.04,0.0,0,9999-12-31,00:00:00,
ORD00082,prdct0033,5,2.61,3.69,0.0,0,9999-12-31,00:00:00,
ORD00082,prdct0031,4,2.88,4.4,0.15,1,2023.09.01,02:27:12,Wrong Flavor Sent
ord00082,PRDCT0050,3,1.59,2.54,0.0,0,9999-12-31,00:00:00,
ORD00082,PRDCT0052,8,3.0,4.28,0.0,0,9999-12-31,00:00:00,
ORD00082,PRDCT0051,20,1.5,2.06,0.0,0,9999-12-31,00:00:00,
ORD00083,PRDCT0049,4,3.73,5.44,0.1,0,9999-12-31,00:00:00,
ord00083,PRDCT0036,4,4.9,7.65,0.0,0,9999-12-31,00:00:00,
ORD00083,PRDCT0056,2,2.85,4.5,0.0,0,9999-12-31,00:00:00,
ORD00083,PRDCT0057,2,7.64,10.04,0.0,0,9999-12-31,00:00:00,
ORD00083,PRDCT0053,1,6.4,9.85,0.05,0,9999-12-31,00:00:00,
ORD00083,PRDCT0093,1,5.18,7.08,0.0,0,9999-12-31,00:00:00,
ord00084,PRDCT0089,3,9.26,13.66,0.0,0,9999-12-31,00:00:00,
ORD00084,PRDCT0079,2,10.83,14.4,0.0,1,2023-04-11,08:12:26,Customer Changed Mind
ORD00084,prdct0078,4,12.41,19.14,0.0,0,9999-12-31,00:00:00,
ord00084,prdct0075,3,3.28,5.01,0.0,0,9999-12-31,00:00:00,
ORD00084,PRDCT0082,5,9.08,12.83,0.0,0,9999-12-31,00:00:00,
ORD00084,PRDCT0076,3,11.64,17.97,0.0,0,9999-12-31,00:00:00,
ORD00084,PRDCT0071,5,12.22,18.79,0.0,0,9999-12-31,00:00:00,
ORD00085,prdct0032,1,5.42,8.07,0.0,0,9999-12-31,00:00:00,
ord00085,prdct0099,3,9.89,12.68,0.0,0,9999-12-31,00:00:00,
ord00085,prdct0039,1,4.7,7.64,0.0,1,2024-03-07,11:37:29,Wrong Flavor Sent
ORD00086,prdct0048,1,5.2,7.44,0.0,0,9999-12-31,00:00:00,
ord00086,prdct0042,2,2.97,4.86,0.0,0,9999-12-31,00:00:00,
ORD00086,prdct0038,1,5.89,7.89,0.1,0,9999-12-31,00:00:00,
ORD00087,PRDCT0054,2,5.04,6.72,0.0,0,9999-12-31,00:00:00,
ord00087,PRDCT0051,1,2.0,2.74,0.0,0,9999-12-31,00:00:00,
ORD00087,PRDCT0047,1,5.78,8.12,0.0,0,9999-12-31,00:00:00,
ORD00088,PRDCT0023,2,2.71,3.69,0.15,0,9999-12-31,00:00:00,
ORD00088,prdct0029,2,1.48,2.32,0.0,0,9999-12-31,00:00:00,
ORD00088,PRDCT0005,5,29.89,40.31,0.0,0,9999-12-31,00:00:00,
ORD00088,PRDCT0011,2,6.35,10.11,0.0,0,9999-12-31,00:00:00,
ORD00089,prdct0091,1,5.53,8.89,0.0,0,9999-12-31,00:00:00,
ORD00089,PRDCT0096,1,4.38,5.62,0.05,0,9999-12-31,00:00:00,
ORD00090,PRDCT0092,1,11.69,15.07,0.05,0,9999-12-31,00:00:00,
ord00090,PRDCT0040,3,2.87,4.62,0.0,0,9999-12-31,00:00:00,
ord00090,PRDCT0036,1,4.9,7.65,0.05,0,9999-12-31,00:00:00,
ORD00090,prdct0056,25,2.85,4.5,0.0,0,9999-12-31,00:00:00,
ORD00090,prdct0096,2,3.98,5.11,0.0,0,9999-12-31,00:00:00,
ORD00090,prdct0081,1,7.16,9.86,0.0,1,26-07-2024,15:12:26,Strong Odor Issue
ord00091,PRDCT0042,2,2.97,4.86,0.0,0,9999-12-31,00:00:00,
ORD00091,PRDCT0053,1,7.04,10.83,0.0,0,9999-12-31,00:00:00,
ord00091,prdct0055,1,2.69,4.38,0.0,0,9999-12-31,00:00:00,
ORD00092,prdct0075,4,4.36,6.67,0.0,0,9999-12-31,00:00:00,
ORD00092,prdct0063,2,4.3,6.26,0.0,0,9999-12-31,00:00:00,
ORD00092,PRDCT0090,4,14.4,22.93,0.1,0,9999-12-31,00:00:00,
ORD00092,PRDCT0018,2,10.74,14.11,0.0,0,9999-12-31,00:00:00,
ORD00093,PRDCT0082,1,10.98,15.52,0.0,0,9999-12-31,00:00:00,
ORD00093,PRDCT0086,1,9.82,16.3,0.15,0,9999-12-31,00:00:00,
ORD00093,prdct0081,1,7.88,10.85,0.0,1,"Sep 03, 2025",05:10:13,Damaged Spray Nozzle
ord00094,prdct0080,2,5.83,7.83,0.0,0,9999-12-31,00:00:00,
ORD00094,PRDCT0064,1,9.43,12.21,0.0,0,9999-12-31,00:00:00,
ord00095,PRDCT0069,2,7.54,10.18,0.0,0,9999-12-31,00:00:00,
ord00096,prdct0084,1,5.29,8.29,0.0,1,23-04-2023,10:03:28,Strong Odor Issue
ord00096,prdct0074,1,9.43,13.46,0.1,0,9999-12-31,00:00:00,
ORD00097,PRDCT0012,2,4.0,5.93,0.0,0,9999-12-31,00:00:00,
ord00097,prdct0002,1,29.82,41.43,0.0,0,9999-12-31,00:00:00,
ORD00097,PRDCT0010,2,20.04,30.45,0.0,0,9999-12-31,00:00:00,
ord00097,PRDCT0028,4,4.58,5.84,0.0,0,9999-12-31,00:00:00,
ORD00097,PRDCT0018,2,9.77,12.83,0.0,0,9999-12-31,00:00:00,
ORD00098,PRDCT0053,1,5.82,8.95,0.0,0,9999-12-31,00:00:00,
ORD00098,PRDCT0039,2,4.27,6.95,0.0,0,9999-12-31,00:00:00,
ORD00098,prdct0100,1,10.04,13.29,0.0,0,9999-12-31,00:00:00,
ord00098,prdct0029,1,1.11,1.74,0.0,1,26/02/2023,09:25:33,Unripe Product
ord00099,PRDCT0078,4,13.66,21.06,0.0,0,9999-12-31,00:00:00,
ORD00099,prdct0080,3,6.42,8.61,0.05,0,9999-12-31,00:00:00,
ord00099,PRDCT0074,2,10.37,14.8,0.0,0,9999-12-31,00:00:00,
ORD00099,PRDCT0072,1,8.55,12.94,0.0,0,9999-12-31,00:00:00,
ORD00099,prdct0089,3,10.18,15.03,0.0,0,9999-12-31,00:00:00,
ORD00100,PRDCT0076,4,11.64,17.97,0.0,0,9999-12-31,00:00:00,
ord00100,prdct0083,4,3.79,4.94,0.0,0,9999-12-31,00:00:00,
ORD00100,PRDCT0073,2,5.19,8.54,0.05,0,9999-12-31,00:00:00,
ORD00100,PRDCT0080,1,5.83,7.83,0.0,0,9999-12-31,00:00:00,
ord00100,PRDCT0082,1,9.08,12.83,0.0,0,9999-12-31,00:00:00,
ORD00101,PRDCT0077,1,4.08,5.84,0.1,0,9999-12-31,00:00:00,
ORD00101,prdct0071,23,11.11,17.08,0.0,0,9999-12-31,00:00:00,
