Age,CustomerSegment,Age_Group,CustomerID,Region,Gender,City,SignUpDate,Year_SignUpDate,Month_SignUpDate,MonthName_SignupDate
32,Standard,Early Adults,CSTMR0031,MARMARA,MALE,BURSA,2022/01/31,2022,1,January
39,VIP,Middle Adults,CSTMR0032,MARMARA,MALE,KOCAELI,2021/05/30,2021,5,May
52,Premium,Late Adults,CSTMR0033,AEGEAN,FEMALE,IZMIR,2021/01/14,2021,1,January
44,Standard,Middle Adults,CSTMR0034,CENTRAL ANATOLIA,MALE,ANKARA,2023/04/06,2023,4,April
32,Premium,Early Adults,CSTMR0035,MARMARA,FEMALE,ISTANBUL,2022/08/27,2022,8,August
40,Premium,Middle Adults,CSTMR0036,MARMARA,MALE,ISTANBUL,2022/04/05,2022,4,April
42,Standard,Middle Adults,CSTMR0037,CENTRAL ANATOLIA,MALE,ANKARA,2022/01/30,2022,1,January
44,Standard,Middle Adults,CSTMR0038,AEGEAN,OTHER,IZMIR,2022/01/08,2022,1,January
53,Premium,Late Adults,CSTMR0039,MARMARA,FEMALE,ISTANBUL,2020/02/06,2020,2,February
30,VIP,Early Adults,CSTMR0040,AEGEAN,FEMALE,AYDIN,2022/05/16,2022,5,May
53,Standard,Late Adults,CSTMR0041,MARMARA,FEMALE,ISTANBUL,2021/11/29,2021,11,November
38,VIP,Middle Adults,CSTMR0042,MEDITERRANEAN,FEMALE,ANTALYA,2020/03/16,2020,3,March
35,Standard,Early Adults,CSTMR0043,MARMARA,FEMALE,KOCAELI,2020/05/23,2020,5,May
62,VIP,Older Adults,CSTMR0044,MARMARA,FEMALE,ISTANBUL,2022/06/09,2022,6,June
33,Standard,Early Adults,CSTMR0045,MEDITERRANEAN,OTHER,ANTALYA,2022/07/23,2022,7,July
40,Standard,Middle Adults,CSTMR0046,AEGEAN,FEMALE,AYDIN,2022/02/01,2022,2,February
42,Standard,Middle Adults,CSTMR0047,AEGEAN,MALE,IZMIR,2023/04/12,2023,4,April
31,Standard,Early Adults,CSTMR0048,CENTRAL ANATOLIA,FEMALE,ANKARA,2021/09/25,2021,9,September
43,VIP,Middle Adults,CSTMR0049,CENTRAL ANATOLIA,FEMALE,ANKARA,2021/05/14,2021,5,May
20,Standard,Young Adults,CSTMR0050,AEGEAN,MALE,IZMIR,2022/12/29,2022,12,December
55,Standard,Late Adults,CSTMR0051,MARMARA,FEMALE,ISTANBUL,2020/02/08,2020,2,February
27,Premium,Early Adults,CSTMR0052,MARMARA,MALE,BURSA,2022/12/17,2022,12,December
44,Standard,Middle Adults,CSTMR0053,AEGEAN,OTHER,IZMIR,2020/12/13,2020,12,December
46,Standard,Late Adults,CSTMR0054,MARMARA,MALE,ISTANBUL,2022/03/04,2022,3,March
18,Standard,Young Adults,CSTMR0055,MARMARA,MALE,ISTANBUL,2020/07/21,2020,7,July
45,Premium,Middle Adults,CSTMR0056,AEGEAN,MALE,IZMIR,2020/02/16,2020,2,February
63,VIP,Older Adults,CSTMR0057,AEGEAN,MALE,IZMIR,2021/10/17,2021,10,October
28,Standard,Early Adults,CSTMR0058,MEDITERRANEAN,MALE,ANTALYA,2022/02/22,2022,2,February
20,Standard,Young Adults,CSTMR0059,MARMARA,FEMALE,ISTANBUL,2020/03/30,2020,3,March
47,VIP,Late Adults,CSTMR0060,MARMARA,OTHER,ISTANBUL,2022/05/18,2022,5,May
42,Standard,Middle Adults,CSTMR0061,MARMARA,MALE,ISTANBUL,2021/04/05,2021,4,April
60,Premium,Late Adults,CSTMR0062,CENTRAL ANATOLIA,MALE,ESKISEHIR,2021/01/24,2021,1,January
22,Standard,Young Adults,CSTMR0063,MEDITERRANEAN,FEMALE,ANTALYA,2022/05/26,2022,5,May
59,Standard,Late Adults,CSTMR0064,CENTRAL ANATOLIA,OTHER,ANKARA,2020/05/25,2020,5,May
18,Standard,Young Adults,CSTMR0065,MEDITERRANEAN,MALE,ANTALYA,2022/03/05,2022,3,March
54,Standard,Late Adults,CSTMR0066,MARMARA,FEMALE,ISTANBUL,2021/05/25,2021,5,May
41,Premium,Middle Adults,CSTMR0067,BLACK SEA,MALE,TRABZON,2022/02/09,2022,2,February
41,Standard,Middle Adults,CSTMR0068,MEDITERRANEAN,FEMALE,ANTALYA,2020/03/23,2020,3,March
21,Standard,Young Adults,CSTMR0069,AEGEAN,FEMALE,IZMIR,2020/02/03,2020,2,February
44,Premium,Middle Adults,CSTMR0070,AEGEAN,FEMALE,IZMIR,2021/11/04,2021,11,November
49,Standard,Late Adults,CSTMR0071,MEDITERRANEAN,MALE,ANTALYA,2022/09/16,2022,9,September
31,Premium,Early Adults,CSTMR0072,MARMARA,MALE,ISTANBUL,2022/07/07,2022,7,July
26,Premium,Early Adults,CSTMR0073,MARMARA,OTHER,ISTANBUL,2022/02/02,2022,2,February
46,Premium,Late Adults,CSTMR0074,AEGEAN,FEMALE,IZMIR,2022/05/08,2022,5,May
18,Premium,Young Adults,CSTMR0075,CENTRAL ANATOLIA,MALE,ESKISEHIR,2021/06/25,2021,6,June
61,Premium,Older Adults,CSTMR0076,MEDITERRANEAN,FEMALE,ANTALYA,2022/06/18,2022,6,June
39,Standard,Middle Adults,CSTMR0077,MARMARA,MALE,ISTANBUL,2020/05/05,2020,5,May
32,Standard,Early Adults,CSTMR0078,MARMARA,FEMALE,ISTANBUL,2022/01/30,2022,1,January
57,Premium,Late Adults,CSTMR0079,MARMARA,FEMALE,ISTANBUL,2022/06/18,2022,6,June
28,Premium,Early Adults,CSTMR0080,MARMARA,OTHER,KOCAELI,2020/04/02,2020,4,April
45,Standard,Middle Adults,CSTMR0081,MARMARA,FEMALE,ISTANBUL,2021/11/12,2021,11,November
31,Premium,Early Adults,CSTMR0082,MARMARA,FEMALE,ISTANBUL,2020/08/20,2020,8,August
33,Premium,Early Adults,CSTMR0083,MARMARA,MALE,ISTANBUL,2022/03/04,2022,3,March
28,Standard,Early Adults,CSTMR0084,MARMARA,FEMALE,ISTANBUL,2020/12/15,2020,12,December
40,Standard,Middle Adults,CSTMR0085,MEDITERRANEAN,FEMALE,ADANA,2020/10/29,2020,10,October
28,Premium,Early Adults,CSTMR0086,AEGEAN,FEMALE,IZMIR,2020/03/18,2020,3,March
44,Standard,Middle Adults,CSTMR0087,MARMARA,MALE,KOCAELI,2022/03/16,2022,3,March
41,Standard,Middle Adults,CSTMR0088,MARMARA,FEMALE,ISTANBUL,2021/04/29,2021,4,April
19,Premium,Young Adults,CSTMR0089,MARMARA,MALE,ISTANBUL,2020/01/25,2020,1,January
40,Premium,Middle Adults,CSTMR0090,MARMARA,MALE,KOCAELI,2020/04/20,2020,4,April
63,Premium,Older Adults,CSTMR0091,AEGEAN,FEMALE,IZMIR,2021/02/28,2021,2,February
54,Premium,Late Adults,CSTMR0092,AEGEAN,OTHER,IZMIR,2020/10/11,2020,10,October
33,Standard,Early Adults,CSTMR0093,MARMARA,FEMALE,ISTANBUL,2021/09/15,2021,9,September
35,Standard,Early Adults,CSTMR0094,MARMARA,MALE,ISTANBUL,2022/04/02,2022,4,April
47,Standard,Late Adults,CSTMR0095,MARMARA,FEMALE,ISTANBUL,2020/04/27,2020,4,April
39,Standard,Middle Adults,CSTMR0096,AEGEAN,MALE,IZMIR,2020/12/07,2020,12,December
49,Standard,Late Adults,CSTMR0097,MARMARA,MALE,ISTANBUL,2023/02/15,2023,2,February
28,Premium,Early Adults,CSTMR0098,AEGEAN,FEMALE,AYDIN,2020/05/19,2020,5,May
45,Standard,Middle Adults,CSTMR0099,MARMARA,MALE,ISTANBUL,2022/04/24,2022,4,April
18,Standard,Young Adults,CSTMR0100,MARMARA,MALE,ISTANBUL,2020/01/10,2020,1,January
45,Standard,Middle Adults,CSTMR0101,MARMARA,MALE,ISTANBUL,2020/11/24,2020,11,November
25,Premium,Young Adults,CSTMR0102,MARMARA,MALE,KOCAELI,2023/01/23,2023,1,January
40,Standard,Middle Adults,CSTMR0103,MARMARA,MALE,ISTANBUL,2021/05/27,2021,5,May
39,Premium,Middle Adults,CSTMR0104,CENTRAL ANATOLIA,MALE,ANKARA,2022/05/22,2022,5,May
32,Standard,Early Adults,CSTMR0105,MARMARA,MALE,ISTANBUL,2020/03/18,2020,3,March
43,Standard,Middle Adults,CSTMR0106,CENTRAL ANATOLIA,MALE,ANKARA,2020/03/29,2020,3,March
44,Standard,Middle Adults,CSTMR0107,AEGEAN,FEMALE,IZMIR,2022/12/11,2022,12,December
41,Standard,Middle Adults,CSTMR0108,MARMARA,FEMALE,BURSA,2022/03/10,2022,3,March
40,Standard,Middle Adults,CSTMR0109,MARMARA,MALE,ISTANBUL,2021/01/08,2021,1,January
47,Standard,Late Adults,CSTMR0110,MARMARA,MALE,ISTANBUL,2022/11/04,2022,11,November
43,Premium,Middle Adults,CSTMR0111,BLACK SEA,MALE,TRABZON,2023/01/25,2023,1,January
56,Premium,Late Adults,CSTMR0112,MARMARA,MALE,ISTANBUL,2020/07/14,2020,7,July
33,Standard,Early Adults,CSTMR0113,CENTRAL ANATOLIA,FEMALE,ANKARA,2023/03/28,2023,3,March
47,Standard,Late Adults,CSTMR0114,AEGEAN,MALE,IZMIR,2020/01/15,2020,1,January
47,Standard,Late Adults,CSTMR0115,AEGEAN,MALE,AYDIN,2020/04/04,2020,4,April
26,VIP,Early Adults,CSTMR0116,AEGEAN,MALE,AYDIN,2020/03/09,2020,3,March
23,Standard,Young Adults,CSTMR0117,MARMARA,MALE,BURSA,2020/12/11,2020,12,December
29,Standard,Early Adults,CSTMR0118,AEGEAN,FEMALE,IZMIR,2022/08/15,2022,8,August
45,VIP,Middle Adults,CSTMR0119,MARMARA,MALE,ISTANBUL,2022/04/10,2022,4,April
56,Standard,Late Adults,CSTMR0120,AEGEAN,MALE,AYDIN,2023/02/03,2023,2,February
30,Premium,Early Adults,CSTMR0121,MARMARA,MALE,ISTANBUL,2022/09/09,2022,9,September
32,Standard,Early Adults,CSTMR0122,MARMARA,MALE,KOCAELI,2022/07/24,2022,7,July
28,Standard,Early Adults,CSTMR0123,CENTRAL ANATOLIA,FEMALE,ANKARA,2022/07/25,2022,7,July
45,Standard,Middle Adults,CSTMR0124,CENTRAL ANATOLIA,FEMALE,ANKARA,2021/01/20,2021,1,January
39,Standard,Middle Adults,CSTMR0125,MARMARA,FEMALE,ISTANBUL,2022/02/01,2022,2,February
47,Standard,Late Adults,CSTMR0126,MARMARA,FEMALE,KOCAELI,2021/12/10,2021,12,December
29,VIP,Early Adults,CSTMR0127,MARMARA,FEMALE,ISTANBUL,2022/12/08,2022,12,December
48,VIP,Late Adults,CSTMR0128,MARMARA,FEMALE,ISTANBUL,2020/12/07,2020,12,December
68,Premium,Older Adults,CSTMR0129,MARMARA,FEMALE,ISTANBUL,2020/02/08,2020,2,February
38,Standard,Middle Adults,CSTMR0130,MARMARA,FEMALE,ISTANBUL,2021/10/31,2021,10,October
68,Standard,Older Adults,CSTMR0131,MARMARA,MALE,ISTANBUL,2021/12/08,2021,12,December
24,Standard,Young Adults,CSTMR0132,MARMARA,FEMALE,KOCAELI,2023/02/10,2023,2,February
33,Premium,Early Adults,CSTMR0133,CENTRAL ANATOLIA,FEMALE,ANKARA,2022/03/10,2022,3,March
33,Premium,Early Adults,CSTMR0134,MARMARA,OTHER,KOCAELI,2020/03/27,2020,3,March
34,Standard,Early Adults,CSTMR0135,AEGEAN,MALE,IZMIR,2021/03/18,2021,3,March
50,Standard,Late Adults,CSTMR0136,MARMARA,MALE,ISTANBUL,2021/08/01,2021,8,August
48,VIP,Late Adults,CSTMR0137,MEDITERRANEAN,MALE,ADANA,2023/02/17,2023,2,February
45,Standard,Middle Adults,CSTMR0138,MEDITERRANEAN,FEMALE,ANTALYA,2020/06/30,2020,6,June
18,Standard,Young Adults,CSTMR0139,CENTRAL ANATOLIA,MALE,ESKISEHIR,2022/03/25,2022,3,March
59,Standard,Late Adults,CSTMR0140,CENTRAL ANATOLIA,MALE,ANKARA,2021/07/12,2021,7,July
22,VIP,Young Adults,CSTMR0141,AEGEAN,FEMALE,IZMIR,2022/12/12,2022,12,December
59,Standard,Late Adults,CSTMR0142,CENTRAL ANATOLIA,MALE,ANKARA,2021/08/15,2021,8,August
39,Premium,Middle Adults,CSTMR0143,MARMARA,MALE,BURSA,2023/12/02,2023,12,December
39,Standard,Middle Adults,CSTMR0144,AEGEAN,OTHER,IZMIR,2021/05/08,2021,5,May
31,Premium,Early Adults,CSTMR0145,MARMARA,MALE,ISTANBUL,2023/03/15,2023,3,March
28,Premium,Early Adults,CSTMR0146,MARMARA,MALE,KOCAELI,2020/03/02,2020,3,March
32,Premium,Early Adults,CSTMR0147,MARMARA,MALE,ISTANBUL,2020/01/27,2020,1,January
44,Standard,Middle Adults,CSTMR0148,AEGEAN,MALE,IZMIR,2020/09/24,2020,9,September
52,Standard,Late Adults,CSTMR0149,MARMARA,MALE,BURSA,2021/12/02,2021,12,December
41,Premium,Middle Adults,CSTMR0150,MARMARA,FEMALE,ISTANBUL,2022/03/29,2022,3,March
47,Standard,Late Adults,CSTMR0151,AEGEAN,MALE,AYDIN,2022/01/13,2022,1,January
36,Standard,Middle Adults,CSTMR0152,AEGEAN,FEMALE,IZMIR,2022/01/27,2022,1,January
41,Standard,Middle Adults,CSTMR0153,MARMARA,MALE,ISTANBUL,2022/08/15,2022,8,August
18,Premium,Young Adults,CSTMR0154,AEGEAN,FEMALE,IZMIR,2020/03/13,2020,3,March
61,Standard,Older Adults,CSTMR0155,MARMARA,FEMALE,BURSA,2022/11/28,2022,11,November
37,Standard,Middle Adults,CSTMR0156,MARMARA,MALE,ISTANBUL,2020/04/11,2020,4,April
22,Premium,Young Adults,CSTMR0157,MARMARA,MALE,KOCAELI,2020/08/03,2020,8,August
35,VIP,Early Adults,CSTMR0158,CENTRAL ANATOLIA,MALE,ANKARA,2021/08/01,2021,8,August
41,Standard,Middle Adults,CSTMR0159,AEGEAN,MALE,IZMIR,2021/05/03,2021,5,May
46,Standard,Late Adults,CSTMR0160,AEGEAN,OTHER,AYDIN,2021/12/11,2021,12,December
18,Standard,Young Adults,CSTMR0161,MARMARA,FEMALE,ISTANBUL,2020/05/16,2020,5,May
34,Standard,Early Adults,CSTMR0162,MARMARA,MALE,BURSA,2021/08/16,2021,8,August
54,Standard,Late Adults,CSTMR0163,AEGEAN,FEMALE,IZMIR,2023/03/28,2023,3,March
18,Standard,Young Adults,CSTMR0164,MARMARA,MALE,KOCAELI,2020/10/05,2020,10,October
34,Premium,Early Adults,CSTMR0165,MARMARA,MALE,ISTANBUL,2021/05/11,2021,5,May
39,Premium,Middle Adults,CSTMR0166,AEGEAN,MALE,AYDIN,2023/03/30,2023,3,March
38,Standard,Middle Adults,CSTMR0167,MEDITERRANEAN,FEMALE,ANTALYA,2022/11/28,2022,11,November
50,Premium,Late Adults,CSTMR0168,MARMARA,FEMALE,ISTANBUL,2020/11/13,2020,11,November
32,Standard,Early Adults,CSTMR0169,MARMARA,MALE,BURSA,2021/01/23,2021,1,January
55,Standard,Late Adults,CSTMR0170,MARMARA,FEMALE,BURSA,2021/01/10,2021,1,January
18,Premium,Young Adults,CSTMR0171,AEGEAN,MALE,IZMIR,2023/03/09,2023,3,March
23,Premium,Young Adults,CSTMR0172,MARMARA,OTHER,ISTANBUL,2021/12/10,2021,12,December
47,Standard,Late Adults,CSTMR0173,MEDITERRANEAN,FEMALE,ADANA,2021/07/17,2021,7,July
40,Standard,Middle Adults,CSTMR0174,CENTRAL ANATOLIA,MALE,ANKARA,2022/06/03,2022,6,June
36,Standard,Middle Adults,CSTMR0175,MARMARA,MALE,ISTANBUL,2021/05/20,2021,5,May
31,Standard,Early Adults,CSTMR0176,MARMARA,FEMALE,ISTANBUL,2022/06/12,2022,6,June
45,Premium,Middle Adults,CSTMR0177,MARMARA,MALE,ISTANBUL,2021/02/22,2021,2,February
67,Premium,Older Adults,CSTMR0178,MARMARA,FEMALE,ISTANBUL,2020/06/08,2020,6,June
18,Standard,Young Adults,CSTMR0179,MARMARA,MALE,ISTANBUL,2022/07/09,2022,7,July
27,Standard,Early Adults,CSTMR0180,MARMARA,FEMALE,ISTANBUL,2022/12/08,2022,12,December
38,VIP,Middle Adults,CSTMR0181,MEDITERRANEAN,MALE,ANTALYA,2022/08/30,2022,8,August
30,VIP,Early Adults,CSTMR0182,MARMARA,MALE,ISTANBUL,2020/08/11,2020,8,August
60,Premium,Late Adults,CSTMR0183,MARMARA,MALE,KOCAELI,2020/08/03,2020,8,August
47,Premium,Late Adults,CSTMR0184,CENTRAL ANATOLIA,MALE,ANKARA,2022/03/26,2022,3,March
50,Premium,Late Adults,CSTMR0185,AEGEAN,FEMALE,IZMIR,2021/02/25,2021,2,February
52,Premium,Late Adults,CSTMR0186,MEDITERRANEAN,FEMALE,ANTALYA,2022/01/30,2022,1,January
33,Premium,Early Adults,CSTMR0187,CENTRAL ANATOLIA,MALE,ANKARA,2020/03/22,2020,3,March
27,Standard,Early Adults,CSTMR0188,MARMARA,FEMALE,KOCAELI,2020/10/21,2020,10,October
45,Standard,Middle Adults,CSTMR0189,MARMARA,MALE,ISTANBUL,2022/05/15,2022,5,May
18,Standard,Young Adults,CSTMR0190,CENTRAL ANATOLIA,MALE,ANKARA,2021/04/11,2021,4,April
36,VIP,Middle Adults,CSTMR0191,AEGEAN,FEMALE,IZMIR,2020/06/02,2020,6,June
41,Premium,Middle Adults,CSTMR0192,AEGEAN,FEMALE,IZMIR,2021/12/31,2021,12,December
35,Premium,Early Adults,CSTMR0193,MARMARA,FEMALE,ISTANBUL,2023/02/17,2023,2,February
60,Premium,Late Adults,CSTMR0194,MEDITERRANEAN,FEMALE,ADANA,2020/10/11,2020,10,October
18,Standard,Young Adults,CSTMR0195,MARMARA,FEMALE,ISTANBUL,2022/11/22,2022,11,November
54,Standard,Late Adults,CSTMR0196,CENTRAL ANATOLIA,FEMALE,ANKARA,2021/07/23,2021,7,July
46,Premium,Late Adults,CSTMR0197,MARMARA,MALE,ISTANBUL,2020/08/02,2020,8,August
37,Standard,Middle Adults,CSTMR0198,MARMARA,MALE,ISTANBUL,2023/02/27,2023,2,February
43,Standard,Middle Adults,CSTMR0199,CENTRAL ANATOLIA,FEMALE,ANKARA,2020/03/24,2020,3,March
40,Standard,Middle Adults,CSTMR0200,MEDITERRANEAN,MALE,ADANA,2021/07/23,2021,7,July
22,Standard,Young Adults,CSTMR0201,CENTRAL ANATOLIA,MALE,ANKARA,2020/07/26,2020,7,July
55,Premium,Late Adults,CSTMR0202,MARMARA,MALE,ISTANBUL,2021/06/03,2021,6,June
45,VIP,Middle Adults,CSTMR0203,MARMARA,MALE,ISTANBUL,2021/11/23,2021,11,November
53,Standard,Late Adults,CSTMR0204,MARMARA,MALE,ISTANBUL,2021/06/10,2021,6,June
42,Premium,Middle Adults,CSTMR0205,MARMARA,FEMALE,BURSA,2022/10/13,2022,10,October
28,Standard,Early Adults,CSTMR0206,MARMARA,MALE,ISTANBUL,2021/01/20,2021,1,January
34,Premium,Early Adults,CSTMR0207,MARMARA,FEMALE,ISTANBUL,2020/12/03,2020,12,December
37,Premium,Middle Adults,CSTMR0208,MARMARA,MALE,ISTANBUL,2021/12/29,2021,12,December
37,Standard,Middle Adults,CSTMR0209,MARMARA,FEMALE,ISTANBUL,2021/02/04,2021,2,February
31,Standard,Early Adults,CSTMR0210,MARMARA,FEMALE,ISTANBUL,2023/01/14,2023,1,January
38,Standard,Middle Adults,CSTMR0211,CENTRAL ANATOLIA,FEMALE,ESKISEHIR,2021/08/11,2021,8,August
28,Premium,Early Adults,CSTMR0212,MARMARA,FEMALE,ISTANBUL,2022/05/20,2022,5,May
42,VIP,Middle Adults,CSTMR0213,MARMARA,FEMALE,ISTANBUL,2021/09/26,2021,9,September
39,Premium,Middle Adults,CSTMR0214,MARMARA,MALE,ISTANBUL,2021/06/07,2021,6,June
48,Premium,Late Adults,CSTMR0215,MARMARA,MALE,ISTANBUL,2020/09/07,2020,9,September
45,Premium,Middle Adults,CSTMR0216,AEGEAN,FEMALE,IZMIR,2020/01/22,2020,1,January
58,Premium,Late Adults,CSTMR0217,MARMARA,MALE,ISTANBUL,2022/10/10,2022,10,October
40,Standard,Middle Adults,CSTMR0218,MARMARA,FEMALE,KOCAELI,2020/05/01,2020,5,May
44,Standard,Middle Adults,CSTMR0219,MARMARA,MALE,BURSA,2020/10/14,2020,10,October
42,Standard,Middle Adults,CSTMR0220,AEGEAN,FEMALE,AYDIN,2021/10/23,2021,10,October
27,Standard,Early Adults,CSTMR0221,MARMARA,FEMALE,BURSA,2021/03/20,2021,3,March
37,Standard,Middle Adults,CSTMR0222,MARMARA,OTHER,ISTANBUL,2022/05/11,2022,5,May
42,Standard,Middle Adults,CSTMR0223,AEGEAN,MALE,AYDIN,2021/06/15,2021,6,June
50,Standard,Late Adults,CSTMR0224,MARMARA,FEMALE,KOCAELI,2021/02/23,2021,2,February
56,Standard,Late Adults,CSTMR0225,CENTRAL ANATOLIA,FEMALE,ANKARA,2020/10/21,2020,10,October
57,Premium,Late Adults,CSTMR0226,CENTRAL ANATOLIA,MALE,ESKISEHIR,2021/06/13,2021,6,June
42,Standard,Middle Adults,CSTMR0227,CENTRAL ANATOLIA,FEMALE,ESKISEHIR,2022/07/28,2022,7,July
29,Standard,Early Adults,CSTMR0228,MARMARA,FEMALE,BURSA,2022/10/01,2022,10,October
57,Standard,Late Adults,CSTMR0229,AEGEAN,MALE,IZMIR,2023/01/12,2023,1,January
18,Premium,Young Adults,CSTMR0230,MARMARA,FEMALE,BURSA,2020/01/28,2020,1,January
51,Standard,Late Adults,CSTMR0231,MARMARA,FEMALE,ISTANBUL,2020/10/27,2020,10,October
29,Standard,Early Adults,CSTMR0232,CENTRAL ANATOLIA,FEMALE,ESKISEHIR,2021/09/21,2021,9,September
49,Standard,Late Adults,CSTMR0233,MARMARA,MALE,BURSA,2022/08/29,2022,8,August
32,Standard,Early Adults,CSTMR0234,MARMARA,MALE,ISTANBUL,2023/02/18,2023,2,February
55,Standard,Late Adults,CSTMR0235,AEGEAN,MALE,AYDIN,2020/06/04,2020,6,June
40,Standard,Middle Adults,CSTMR0236,MARMARA,FEMALE,KOCAELI,2020/11/29,2020,11,November
36,Standard,Middle Adults,CSTMR0237,MEDITERRANEAN,FEMALE,ANTALYA,2022/04/16,2022,4,April
25,VIP,Young Adults,CSTMR0238,AEGEAN,OTHER,IZMIR,2020/10/02,2020,10,October
48,Standard,Late Adults,CSTMR0239,MARMARA,MALE,BURSA,2021/05/09,2021,5,May
42,Standard,Middle Adults,CSTMR0240,MARMARA,FEMALE,KOCAELI,2020/05/30,2020,5,May
26,Standard,Early Adults,CSTMR0241,AEGEAN,MALE,IZMIR,2020/05/08,2020,5,May
45,Premium,Middle Adults,CSTMR0242,MARMARA,FEMALE,ISTANBUL,2020/03/26,2020,3,March
37,Premium,Middle Adults,CSTMR0243,MARMARA,MALE,ISTANBUL,2023/03/14,2023,3,March
40,Premium,Middle Adults,CSTMR0244,CENTRAL ANATOLIA,MALE,ANKARA,2022/09/13,2022,9,September
25,Standard,Young Adults,CSTMR0245,AEGEAN,MALE,IZMIR,2022/12/12,2022,12,December
46,Standard,Late Adults,CSTMR0246,MARMARA,MALE,ISTANBUL,2022/10/06,2022,10,October
33,Standard,Early Adults,CSTMR0247,MARMARA,MALE,ISTANBUL,2022/08/28,2022,8,August
40,Premium,Middle Adults,CSTMR0248,MARMARA,MALE,ISTANBUL,2020/01/19,2020,1,January
34,Standard,Early Adults,CSTMR0249,CENTRAL ANATOLIA,MALE,ANKARA,2022/04/01,2022,4,April
54,Standard,Late Adults,CSTMR0250,AEGEAN,MALE,IZMIR,2021/12/11,2021,12,December
64,Standard,Older Adults,CSTMR0251,MARMARA,FEMALE,KOCAELI,2020/10/17,2020,10,October
51,Standard,Late Adults,CSTMR0252,AEGEAN,MALE,IZMIR,2022/08/31,2022,8,August
49,Premium,Late Adults,CSTMR0253,MARMARA,MALE,KOCAELI,2021/03/29,2021,3,March
34,Standard,Early Adults,CSTMR0254,MARMARA,FEMALE,ISTANBUL,2023/03/02,2023,3,March
65,Standard,Older Adults,CSTMR0255,CENTRAL ANATOLIA,MALE,ANKARA,2021/05/12,2021,5,May
46,Premium,Late Adults,CSTMR0256,CENTRAL ANATOLIA,FEMALE,ANKARA,2021/09/10,2021,9,September
34,Standard,Early Adults,CSTMR0257,MEDITERRANEAN,MALE,ANTALYA,2020/11/19,2020,11,November
